CASE;QUESTNNR;MODE;SD01;SD02;SD03_01;SD06;SD07;SD08;SD09;CM01;CM02;CM03;CM04;CM05;CM06;CM07;CM08;CM09;CM10;CM11;CM12;CM13;CM14;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME;type
635;TCM-Survey;interview;1;1;20;4;6;1;2;1;2;1;3;3;5;1;;1;2;1;1;2;1;;;106;327;122;64;37;373;1;0;5;5;8;1;0,42;0;1
746;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;2;4;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;25;4;8;2;1;2;2;44;1;0;7;7;88;88;2,59;321;2
749;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;4;11;14;11;10;8;16;74;1;0;7;7;96;96;2,48;93;2
761;TCM-Survey;interview;1;2;50;7;1;7;2;1;1;5;1;1;8;9;7;1;2;3;5;1;5;12;11;43;63;50;21;58;258;1;0;7;7;0;0;0,89;4;2
762;TCM-Survey;interview;5;1;56;4;1;9;2;1;1;2;2;2;5;5;3;1;1;1;1;2;-9;10;7;88;149;14;27;36;331;1;0;7;7;4;4;1,06;12;2
764;TCM-Survey;interview;1;1;31;6;1;12;1;1;1;1;5;1;1;1;1;1;1;1;3;2;1;4;7;28;25;18;15;29;126;1;0;7;7;0;0;1,72;43;2
765;TCM-Survey;interview;1;2;30;5;1;12;1;1;1;2;2;2;3;3;7;1;2;1;3;1;2;6;9;33;38;24;31;35;176;1;0;7;7;0;0;1,3;18;2
767;TCM-Survey;interview;1;1;62;5;3;6;1;1;1;1;1;1;6;1;1;1;1;5;5;1;1;4;6;20;26;20;25;89;190;1;0;7;7;0;0;1,55;38;2
768;TCM-Survey;interview;-9;2;72;3;3;6;1;1;1;5;3;3;1;1;1;2;2;1;3;2;1;22;17;77;64;42;33;49;304;1;0;7;7;8;7;0,67;0;2
769;TCM-Survey;interview;1;2;57;5;1;10;1;1;1;2;1;1;5;3;4;2;2;1;2;2;1;19;11;26;55;20;195;110;266;1;0;7;7;0;0;0,8;3;2
770;TCM-Survey;interview;1;2;51;8;1;11;2;1;2;1;5;5;1;1;1;2;2;1;1;2;1;4;6;482;17;12;15;24;114;1;0;7;7;0;0;1,84;56;2
771;TCM-Survey;interview;1;1;50;3;1;11;2;1;1;5;1;1;4;7;5;2;2;1;1;1;5;16;11;31;62;14;33;38;205;1;0;7;7;0;0;1,04;6;2
772;TCM-Survey;interview;1;2;72;3;3;7;1;1;2;1;1;1;6;1;1;1;1;3;4;2;1;24;9;54;54;25;31;43;240;1;0;7;7;0;0;0,86;1;2
775;TCM-Survey;interview;1;1;41;3;1;5;2;1;1;3;1;1;1;4;6;2;2;5;5;1;3;25;11;123;112;42;24;49;386;1;0;7;7;0;0;0,68;0;2
778;TCM-Survey;interview;1;1;43;5;1;7;2;1;1;1;4;3;3;1;1;2;2;1;1;1;1;217;6;25;33;12;12;38;142;1;0;7;7;0;0;1,38;25;2
779;TCM-Survey;interview;1;2;45;2;1;6;1;1;1;3;2;1;6;5;4;1;2;1;1;1;3;10;8;41;64;16;13;60;212;1;0;7;7;4;4;1,2;14;2
780;TCM-Survey;interview;1;2;28;3;1;6;2;1;1;4;1;1;1;3;6;1;1;1;3;2;1;31;10;42;44;32;20;56;235;1;0;7;7;0;0;0,88;3;2
783;TCM-Survey;interview;5;2;40;7;1;12;1;1;1;5;1;1;7;7;5;1;4;1;1;1;5;22;14;31;73;25;38;44;247;1;0;7;7;0;0;0,83;1;2
787;TCM-Survey;interview;-9;-9;32;5;1;6;1;1;1;2;2;2;5;4;2;1;1;2;4;2;1;30;8;42;69;25;23;45;242;1;0;7;7;8;8;0,89;3;2
789;TCM-Survey;interview;1;2;53;5;1;6;2;1;1;2;2;1;4;2;7;2;2;1;2;1;2;18;15;72;82;30;38;45;300;1;0;7;7;0;0;0,71;0;2
791;TCM-Survey;interview;1;1;58;2;1;7;1;1;1;2;1;1;7;5;2;1;1;1;2;1;2;13;14;26;38;18;21;59;189;1;0;7;7;0;0;1,1;9;2
792;TCM-Survey;interview;2;2;21;4;6;1;2;1;4;1;5;4;2;1;1;2;2;1;1;2;1;6;14;25;33;16;18;37;149;1;0;7;7;0;0;1,46;25;2
800;TCM-Survey;interview;1;1;55;4;1;11;1;1;1;2;1;3;7;4;3;1;1;4;3;2;1;8;16;26;38;19;18;42;167;1;0;7;7;0;0;1,26;16;2
801;TCM-Survey;interview;2;1;23;4;6;1;2;1;2;1;5;5;3;1;1;2;2;1;2;2;1;6;6;19;21;14;19;28;113;1;0;7;7;0;0;1,85;42;2
803;TCM-Survey;interview;3;2;22;4;1;2;1;1;2;1;4;7;3;1;1;2;2;1;2;2;1;6;5;17;25;9;18;37;117;1;0;7;7;0;0;1,94;47;2
807;TCM-Survey;interview;1;2;27;6;1;3;1;1;1;3;2;2;4;2;2;2;2;1;1;2;1;46;7;64;76;18;19;52;282;1;0;7;7;0;0;0,9;6;2
811;TCM-Survey;interview;1;1;53;5;1;7;1;1;1;2;1;1;3;3;7;1;2;3;2;1;2;20;6;23;40;16;21;34;160;1;0;7;7;0;0;1,29;16;2
812;TCM-Survey;interview;1;2;49;7;1;12;1;1;1;4;1;1;7;6;5;2;2;1;1;1;4;48;8;27;71;21;22;48;245;1;0;7;7;0;0;0,95;5;2
816;TCM-Survey;interview;1;2;21;4;1;4;1;1;2;1;5;4;3;1;1;2;2;1;1;2;1;95;5;27;23;9;20;55;155;1;0;7;7;0;0;1,42;28;2
817;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;14;12;18;25;23;11;16;119;1;0;7;7;96;96;1,71;38;2
819;TCM-Survey;interview;1;2;26;5;1;6;1;1;2;1;7;3;5;1;1;1;2;1;1;2;1;13;7;28;42;33;18;27;168;1;0;7;7;4;4;1,26;16;2
822;TCM-Survey;interview;1;1;40;5;1;5;2;1;1;2;2;2;2;4;3;1;1;1;1;1;3;19;11;34;57;25;35;43;224;1;0;7;7;0;0;0,89;1;2
823;TCM-Survey;interview;3;1;23;6;6;4;2;1;2;1;3;2;3;1;1;1;2;1;1;2;1;5;7;28;19;10;13;25;107;1;0;7;7;0;0;2,01;52;2
824;TCM-Survey;interview;1;1;70;7;3;12;2;1;1;1;3;1;3;1;1;2;2;1;1;1;1;20;12;41;68;19;35;82;277;1;0;7;7;0;0;0,79;0;2
827;TCM-Survey;interview;1;2;31;7;1;7;1;1;1;2;1;1;4;3;2;2;2;1;2;1;3;71;6;45;34;18;21;30;225;1;0;7;7;0;0;1,14;14;2
837;TCM-Survey;interview;2;1;37;7;1;7;2;1;1;3;3;1;3;4;4;1;1;3;4;1;3;29;10;80;101;24;27;62;333;1;0;7;7;4;4;0,71;0;2
840;TCM-Survey;interview;1;1;23;5;1;6;2;1;1;3;1;1;4;9;7;1;1;1;2;2;1;17;9;35;55;19;21;42;198;1;0;7;7;0;0;1,04;3;2
842;TCM-Survey;interview;1;2;59;3;3;6;2;1;1;2;2;1;4;4;6;2;2;1;1;1;2;14;7;30;32;17;21;79;200;1;0;7;7;0;0;1,18;12;2
843;TCM-Survey;interview;1;1;54;4;1;5;1;1;1;3;2;1;5;4;4;1;1;3;3;1;2;50;14;56;152;32;22;90;416;1;0;7;7;0;0;0,61;1;2
844;TCM-Survey;interview;1;2;59;4;1;7;1;1;1;1;5;5;4;1;1;2;2;1;3;1;1;10;7;27;44;20;27;75;210;1;0;7;7;0;0;1,14;11;2
848;TCM-Survey;interview;1;1;40;5;1;6;1;1;1;4;1;1;7;5;4;1;1;3;2;1;2;39;6;26;33;27;25;29;185;1;0;7;7;0;0;1,18;15;2
850;TCM-Survey;interview;1;1;48;4;3;4;1;2;1;1;1;1;6;1;1;1;2;1;3;2;1;8;10;21;34;17;22;32;144;1;0;7;7;0;0;1,42;21;2
852;TCM-Survey;interview;1;1;34;7;1;12;2;1;1;2;1;1;5;6;4;2;2;1;2;1;4;7;6;19;26;20;18;89;185;1;0;7;7;0;0;1,52;29;2
853;TCM-Survey;interview;5;2;44;7;1;12;1;1;1;2;2;1;4;4;7;1;2;1;1;1;3;7;9;29;40;16;22;47;170;1;0;7;7;0;0;1,32;16;2
865;TCM-Survey;interview;1;1;38;8;1;11;2;1;1;4;1;1;7;6;3;1;1;1;1;1;3;6;7;19;30;12;19;17;110;1;0;7;7;0;0;1,9;45;2
866;TCM-Survey;interview;1;1;61;5;3;5;1;1;1;3;2;2;3;2;2;1;2;1;1;1;2;17;17;36;39;20;23;39;191;1;0;7;7;0;0;1,01;4;2
872;TCM-Survey;interview;3;2;75;8;3;11;2;1;2;1;5;3;5;1;1;2;2;1;1;1;1;9;14;79;41;33;40;45;261;1;0;7;7;0;0;0,91;7;2
873;TCM-Survey;interview;1;1;50;3;1;-9;2;1;1;5;2;2;1;4;6;2;2;5;5;1;3;20;13;57;60;23;24;27;224;1;0;7;7;12;12;0,95;5;2
874;TCM-Survey;interview;1;1;30;7;1;6;2;1;2;1;3;1;5;1;1;2;2;1;1;2;1;10;6;27;35;11;16;33;138;1;0;7;7;0;0;1,54;27;2
876;TCM-Survey;interview;1;1;50 plus;3;1;5;1;1;1;4;1;1;2;5;5;1;1;3;3;1;5;32;14;42;164;34;58;60;404;1;0;7;7;0;0;0,59;0;2
877;TCM-Survey;interview;1;2;52;7;1;9;1;1;1;2;2;1;7;3;2;1;2;1;3;1;1;12;6;33;53;20;20;41;185;1;0;7;7;0;0;1,2;10;2
878;TCM-Survey;interview;1;2;36;7;1;9;1;1;1;5;1;1;7;7;4;1;1;3;3;1;5;8;8;27;45;18;20;34;160;1;0;7;7;0;0;1,34;17;2
880;TCM-Survey;interview;1;1;58;7;1;11;1;1;1;3;1;1;7;5;3;1;2;1;2;1;4;26;17;46;59;20;29;44;241;1;0;7;7;0;0;0,82;0;2
885;TCM-Survey;interview;1;2;64;4;1;12;2;1;1;5;1;1;4;9;4;1;2;3;3;1;7;18;21;29;45;36;26;56;231;1;0;7;7;0;0;0,86;2;2
887;TCM-Survey;interview;1;2;46;3;1;10;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;16;10;110;25;17;21;42;241;1;0;7;7;0;0;1,11;10;2
889;TCM-Survey;interview;2;2;22;6;5;1;2;1;2;1;3;2;2;1;1;2;2;1;4;2;1;6;8;33;42;14;17;27;147;1;0;7;7;0;0;1,54;27;2
890;TCM-Survey;interview;1;1;39;4;1;7;2;1;1;2;1;1;7;5;2;1;1;1;1;1;2;7;12;37;134;24;23;36;273;1;0;7;7;0;0;1,09;12;2
891;TCM-Survey;interview;1;2;63;3;1;6;1;1;1;2;3;3;5;3;2;1;2;3;3;1;1;14;9;36;45;22;24;35;185;1;0;7;7;0;0;1,09;5;2
892;TCM-Survey;interview;1;1;39;3;1;6;1;1;2;1;1;1;7;1;1;1;1;1;1;2;1;32;11;44;103;58;32;57;337;1;0;7;7;0;0;0,66;0;2
893;TCM-Survey;interview;1;1;38;5;1;9;2;1;1;2;2;1;5;5;6;1;1;5;5;1;2;16;6;21;46;18;22;32;161;1;0;7;7;0;0;1,3;15;2
894;TCM-Survey;interview;2;1;21;4;6;4;2;1;1;4;2;1;3;3;2;1;2;1;1;1;4;15;7;26;45;20;25;57;195;1;0;7;7;0;0;1,11;7;2
896;TCM-Survey;interview;1;2;60;4;3;6;1;1;1;2;2;1;3;6;3;2;2;4;4;1;4;18;11;89;162;31;70;52;433;1;0;7;7;0;0;0,63;0;2
897;TCM-Survey;interview;5;2;28;6;6;4;2;1;1;2;3;2;5;2;2;2;2;1;1;1;2;16;8;35;42;17;16;24;158;1;0;7;7;0;0;1,3;15;2
898;TCM-Survey;interview;2;2;63;3;3;8;1;1;1;5;1;1;7;7;6;1;1;3;3;1;5;22;12;53;55;38;38;177;395;1;0;7;7;0;0;0,65;0;2
900;TCM-Survey;interview;1;1;47;6;1;7;2;1;1;2;1;1;3;3;2;2;2;1;2;2;1;23;10;30;36;14;17;52;182;1;0;7;7;0;0;1,15;10;2
905;TCM-Survey;interview;1;1;38;5;1;7;1;1;1;3;1;1;7;4;2;1;1;1;1;2;1;10;6;17;31;11;19;29;123;1;0;7;7;0;0;1,67;33;2
906;TCM-Survey;interview;5;1;36;3;1;6;1;1;1;4;1;1;8;5;5;1;1;3;5;1;4;62;16;40;93;25;54;51;341;1;0;7;7;0;0;0,64;0;2
909;TCM-Survey;interview;3;1;71;4;3;6;2;1;1;4;1;1;5;7;6;1;2;5;5;1;4;19;13;41;66;24;34;84;281;1;0;7;7;0;0;0,76;0;2
913;TCM-Survey;interview;1;2;62;-9;3;7;1;1;1;3;2;1;7;7;5;1;2;1;1;2;1;22;11;42;68;20;29;41;233;1;0;7;7;4;4;0,89;1;2
915;TCM-Survey;interview;1;1;63;3;3;5;2;1;2;1;5;5;4;1;1;2;2;1;1;2;1;18;6;36;32;15;26;46;179;1;0;7;7;0;0;1,2;11;2
918;TCM-Survey;interview;1;1;33;7;1;9;2;1;1;2;1;1;6;4;3;1;1;1;1;1;2;12;7;25;55;11;16;33;159;1;0;7;7;0;0;1,41;21;2
919;TCM-Survey;interview;1;2;49;4;1;7;1;1;1;1;5;5;3;5;4;1;2;1;1;1;2;43;16;54;72;26;34;36;281;1;0;7;7;0;0;0,73;2;2
922;TCM-Survey;interview;5;1;62;7;1;7;1;1;1;5;3;1;7;7;5;1;2;1;1;1;5;29;9;30;78;16;27;38;227;1;0;7;7;0;0;0,98;6;2
923;TCM-Survey;interview;5;1;70;3;3;1;2;1;1;5;1;1;7;7;6;1;1;1;1;1;5;27;14;43;56;22;44;59;265;1;0;7;7;4;3;0,75;0;2
924;TCM-Survey;interview;1;2;45;4;1;12;2;1;2;1;5;5;2;1;1;2;2;1;1;2;1;15;7;27;24;13;12;27;125;1;0;7;7;4;4;1,6;30;2
925;TCM-Survey;interview;1;1;62;4;3;3;1;1;1;5;1;1;4;9;4;1;2;3;1;1;5;49;24;52;77;36;38;111;387;1;0;7;7;0;0;0,53;0;2
928;TCM-Survey;interview;1;1;28;3;1;6;1;1;1;4;1;1;7;7;4;1;2;3;3;1;4;13;9;49;62;20;16;41;210;1;0;7;7;0;0;1,08;7;2
929;TCM-Survey;interview;2;2;21;4;6;1;2;1;1;2;4;2;2;1;1;2;2;1;1;2;1;6;6;74;69;52;73;62;342;1;0;7;7;0;0;1;17;2
933;TCM-Survey;interview;1;2;21;5;1;6;2;2;2;1;4;3;3;1;1;2;2;1;2;2;1;33;7;31;27;19;23;41;181;1;0;7;7;0;0;1,16;12;2
934;TCM-Survey;interview;5;1;58;4;1;5;1;1;1;4;1;1;4;3;3;1;1;3;3;1;4;24;11;35;63;36;33;44;246;1;0;7;7;0;0;0,82;1;2
935;TCM-Survey;interview;1;1;49;5;1;4;2;1;1;5;2;1;4;5;4;1;1;1;2;1;1;16;18;55;152;27;24;53;345;1;0;7;7;4;4;0,74;0;2
936;TCM-Survey;interview;1;1;29;4;1;4;1;1;1;1;1;1;6;7;3;1;1;3;4;2;1;6;6;40;50;21;17;29;169;1;0;7;7;0;0;1,46;24;2
940;TCM-Survey;interview;5;1;46;3;3;9;1;1;1;5;1;1;4;6;4;1;2;1;3;1;5;26;8;34;89;18;24;83;282;1;0;7;7;0;0;0,88;3;2
943;TCM-Survey;interview;1;2;48;4;1;6;2;1;1;3;1;1;2;2;4;2;2;1;1;1;3;9;9;39;72;21;23;123;296;1;0;7;7;0;0;0,99;7;2
945;TCM-Survey;interview;1;2;56;5;1;10;2;1;2;1;5;5;4;1;1;2;2;1;1;2;1;11;8;23;38;15;25;55;175;1;0;7;7;0;0;1,25;14;2
946;TCM-Survey;interview;1;1;49;6;5;12;1;1;1;4;2;2;7;7;7;1;2;2;3;1;4;16;11;64;57;41;48;78;315;1;0;7;7;4;3;0,7;0;2
947;TCM-Survey;interview;1;1;52;3;2;4;1;1;1;4;1;1;5;6;6;1;2;1;1;1;4;14;18;36;45;19;31;43;206;1;0;7;7;0;0;0,96;3;2
948;TCM-Survey;interview;5;1;26;4;6;1;1;1;1;5;4;1;3;1;1;1;2;1;1;1;1;9;7;40;31;9;18;27;141;1;0;7;7;0;0;1,57;29;2
949;TCM-Survey;interview;1;2;57;3;1;8;2;1;1;4;2;2;5;5;6;2;2;1;1;1;4;14;8;29;30;14;22;35;152;1;0;7;7;0;0;1,31;15;2
950;TCM-Survey;interview;5;1;61;7;1;11;2;1;1;2;2;1;7;4;2;2;2;1;1;1;1;24;11;40;87;27;36;66;291;1;0;7;7;0;0;0,74;0;2
952;TCM-Survey;interview;1;1;51;5;2;5;1;1;2;1;7;1;7;1;1;2;1;1;1;2;1;101;9;66;171;24;25;101;412;1;0;7;7;0;0;0,63;1;2
954;TCM-Survey;interview;1;1;45;4;1;7;2;1;1;2;1;1;2;2;2;1;1;3;2;1;2;3;11;35;116;28;31;73;297;1;0;7;7;4;3;1,07;31;2
955;TCM-Survey;interview;5;2;75;-9;3;6;1;1;1;5;1;4;6;3;6;2;2;1;4;1;1;18;12;47;66;23;32;46;244;1;0;7;7;8;8;0,84;0;2
956;TCM-Survey;interview;-9;-9;;-9;-9;-9;-9;1;1;1;1;1;7;9;6;1;-9;-9;-9;-9;-9;4;6;19;51;7;3;4;94;1;0;7;7;60;60;2,34;170;2
958;TCM-Survey;interview;1;2;75;3;3;12;2;1;2;1;3;7;5;1;1;2;2;1;4;1;1;17;14;42;44;25;46;36;224;1;0;7;7;4;3;0,89;3;2
961;TCM-Survey;interview;3;1;47;4;1;7;2;1;1;2;2;2;4;4;3;1;1;1;1;1;2;19;25;43;33;21;25;51;217;1;0;7;7;4;3;0,92;3;2
964;TCM-Survey;interview;3;1;75;5;1;11;1;1;1;2;1;1;1;3;6;1;1;3;2;1;2;18;13;25;57;21;50;30;214;1;0;7;7;4;3;0,99;7;2
965;TCM-Survey;interview;1;1;34;6;1;6;1;1;1;4;3;1;5;3;2;1;1;2;4;1;2;17;5;26;36;17;18;44;163;1;0;7;7;0;0;1,33;17;2
966;TCM-Survey;interview;5;1;48;4;1;6;2;1;2;1;6;3;4;8;1;2;2;1;3;2;1;23;15;29;38;20;33;60;218;1;0;7;7;0;0;0,92;4;2
967;TCM-Survey;interview;1;1;53;5;5;12;1;1;1;5;1;5;7;7;3;1;1;3;4;1;5;22;8;52;46;22;36;53;239;1;0;7;7;4;3;0,89;2;2
968;TCM-Survey;interview;5;2;61;3;1;12;2;1;1;5;1;1;5;7;5;1;2;1;1;1;5;22;15;50;80;23;44;39;273;1;0;7;7;4;3;0,76;1;2
970;TCM-Survey;interview;5;2;32;4;1;4;1;1;1;3;1;1;4;3;4;1;2;3;2;1;3;17;7;48;47;20;30;42;211;1;0;7;7;0;0;1,01;4;2
973;TCM-Survey;interview;3;2;69;2;3;7;1;1;1;5;2;1;7;7;6;3;2;1;2;1;5;38;13;52;71;26;53;57;310;1;0;7;7;4;3;0,66;0;2
974;TCM-Survey;interview;3;2;30;8;1;9;2;1;2;1;3;3;3;1;1;2;2;1;1;2;1;9;4;41;31;14;35;49;183;1;0;7;7;0;0;1,4;23;2
976;TCM-Survey;interview;1;1;24;6;1;4;2;1;1;1;4;3;2;1;1;2;2;1;2;2;1;15;8;37;64;18;24;31;197;1;0;7;7;0;0;1,1;7;2
977;TCM-Survey;interview;2;1;43;3;1;4;1;1;1;4;1;1;5;9;7;1;2;3;3;2;1;27;22;73;88;57;25;44;336;1;0;7;7;4;3;0,64;0;2
979;TCM-Survey;interview;1;1;64;3;1;9;1;1;1;3;1;1;2;5;2;1;1;4;4;1;2;16;11;40;52;17;30;53;219;1;0;7;7;0;0;0,95;1;2
980;TCM-Survey;interview;5;1;47;7;1;11;1;1;1;5;1;1;6;5;4;1;2;1;1;1;3;11;7;24;35;16;24;29;146;1;0;7;7;0;0;1,38;19;2
981;TCM-Survey;interview;1;2;70;7;1;8;1;-9;-9;5;1;1;6;5;5;1;2;1;1;1;5;41;8;31;43;15;25;31;194;1;0;7;7;8;8;1,11;10;2
982;TCM-Survey;interview;5;1;50;7;1;5;2;1;1;2;1;1;4;4;2;1;2;5;5;1;1;14;10;28;41;18;30;31;172;1;0;7;7;0;0;1,15;9;2
985;TCM-Survey;interview;1;1;43;4;1;7;1;1;1;4;1;1;7;7;3;1;1;1;1;1;4;20;14;48;105;22;82;27;318;1;0;7;7;0;0;0,81;5;2
986;TCM-Survey;interview;1;1;41;6;5;4;1;1;1;5;3;2;7;5;2;2;2;3;3;1;5;24;17;74;91;38;36;73;353;1;0;7;7;0;0;0,59;0;2
987;TCM-Survey;interview;2;2;23;4;1;5;2;1;2;1;3;2;3;1;1;1;2;3;4;2;1;22;12;53;49;27;25;46;234;1;0;7;7;0;0;0,85;0;2
988;TCM-Survey;interview;1;1;45;7;1;9;1;1;2;1;5;5;6;1;1;2;2;1;1;1;1;44;8;29;28;16;20;50;195;1;0;7;7;0;0;1,15;12;2
989;TCM-Survey;interview;2;1;78;4;3;12;1;1;1;4;2;2;4;7;4;1;1;4;5;1;2;27;20;51;80;26;43;51;298;1;0;7;7;4;3;0,67;0;2
990;TCM-Survey;interview;1;2;59;3;1;11;2;1;1;1;3;2;3;1;1;2;2;1;4;2;1;11;10;41;52;32;27;40;213;1;0;7;7;4;3;1;4;2
991;TCM-Survey;interview;3;1;31;7;1;7;1;1;1;1;3;1;7;1;1;1;1;1;1;2;1;22;6;30;52;15;27;53;205;1;0;7;7;0;0;1,09;9;2
992;TCM-Survey;interview;1;1;65;2;3;12;2;1;1;2;3;1;7;4;2;1;2;1;4;1;3;30;13;66;87;26;35;58;315;1;0;7;7;0;0;0,67;0;2
993;TCM-Survey;interview;1;1;49;3;1;7;1;1;2;1;4;1;7;1;1;2;2;1;2;2;1;12;13;48;33;21;27;47;201;1;0;7;7;0;0;1,03;6;2
994;TCM-Survey;interview;5;1;34;6;1;12;2;1;1;3;1;1;2;4;3;1;1;4;4;1;2;19;9;23;44;14;19;31;159;1;0;7;7;0;0;1,27;14;2
999;TCM-Survey;interview;1;1;41;7;1;7;2;1;1;2;3;2;7;4;7;1;2;1;1;1;2;14;8;36;75;16;26;48;223;1;0;7;7;4;3;1,03;5;2
1001;TCM-Survey;interview;3;1;61;3;3;-9;1;1;1;1;1;1;7;2;7;1;1;5;5;1;1;27;15;44;75;26;40;33;260;1;0;7;7;8;7;0,79;3;2
1002;TCM-Survey;interview;1;2;32;7;1;11;2;1;1;4;1;1;3;6;5;1;1;1;1;1;5;4;10;32;35;14;17;27;139;1;0;7;7;0;0;1,59;37;2
1003;TCM-Survey;interview;1;1;39;6;1;6;2;1;1;2;2;1;2;2;7;1;1;5;5;1;1;11;8;33;41;18;22;27;160;1;0;7;7;0;0;1,28;14;2
1004;TCM-Survey;interview;5;1;61;5;3;12;1;1;1;2;1;1;5;5;3;1;2;3;5;1;1;27;17;37;42;34;40;60;257;1;0;7;7;0;0;0,76;1;2
1005;TCM-Survey;interview;1;1;28;6;1;12;1;1;1;3;2;1;7;5;2;1;1;1;3;1;2;29;7;27;38;15;20;25;161;1;0;7;7;0;0;1,29;18;2
1007;TCM-Survey;interview;5;2;77;5;3;5;1;1;2;7;1;1;8;9;7;2;2;1;3;2;1;12;10;31;27;20;37;31;168;1;0;7;7;4;3;1,21;13;2
1009;TCM-Survey;interview;1;1;50;3;1;5;2;1;1;5;1;1;5;6;7;1;1;3;3;1;2;37;49;94;85;38;38;106;447;1;0;7;7;0;0;0,46;0;2
1010;TCM-Survey;interview;1;1;42;3;1;5;1;1;1;5;2;1;2;3;2;1;1;1;1;1;1;11;8;31;52;21;18;69;210;1;0;7;7;0;0;1,12;9;2
1011;TCM-Survey;interview;5;1;41;3;1;4;2;1;1;3;1;1;4;6;3;1;1;4;4;1;4;22;11;61;121;59;37;48;359;1;0;7;7;0;0;0,66;0;2
1012;TCM-Survey;interview;1;1;72;5;3;6;2;-9;1;1;2;1;1;1;1;1;2;1;2;2;1;32;8;26;31;17;21;30;165;1;0;7;7;8;7;1,23;15;2
1013;TCM-Survey;interview;1;1;55;6;1;12;2;1;1;3;2;2;3;2;3;1;2;1;1;1;2;16;12;42;57;16;22;38;203;1;0;7;7;4;3;1,02;4;2
1018;TCM-Survey;interview;1;1;33;3;1;12;2;1;1;2;3;2;5;3;7;1;1;1;1;1;3;10;8;30;35;15;19;55;172;1;0;7;7;0;0;1,28;15;2
1022;TCM-Survey;interview;3;1;50;8;1;8;2;1;2;1;6;6;2;8;8;2;2;1;3;1;1;24;8;52;31;20;28;49;212;1;0;7;7;0;0;1;6;2
1026;TCM-Survey;interview;1;2;46;5;1;12;2;1;2;1;3;3;1;1;1;2;2;1;1;2;1;18;11;49;20;17;21;31;167;1;0;7;7;0;0;1,26;16;2
1027;TCM-Survey;interview;3;1;58;5;1;6;1;1;1;2;2;1;4;4;4;1;2;3;3;1;2;6;10;54;86;30;36;66;288;1;0;7;7;4;4;0,99;12;2
1030;TCM-Survey;interview;1;2;23;4;6;2;1;1;2;1;3;3;8;1;1;2;2;1;4;2;1;5;18;55;52;23;56;61;270;1;0;7;7;0;0;1,03;16;2
1031;TCM-Survey;interview;1;1;58;4;1;12;1;1;1;2;1;1;1;2;2;1;1;3;4;1;1;25;10;37;66;25;34;32;229;1;0;7;7;0;0;0,9;3;2
1033;TCM-Survey;interview;3;2;25;7;1;8;2;1;1;5;1;1;4;6;6;1;2;1;1;1;4;18;9;39;53;19;27;61;226;1;0;7;7;0;0;0,94;1;2
1034;TCM-Survey;interview;1;1;76;2;3;5;2;1;1;2;2;2;4;3;2;1;2;1;2;1;3;21;11;43;57;27;25;72;256;1;0;7;7;0;0;0,82;0;2
1035;TCM-Survey;interview;1;1;44;3;1;7;2;1;1;3;1;1;2;4;4;1;1;3;3;1;2;17;12;31;75;24;28;95;282;1;0;7;7;0;0;0,83;1;2
1036;TCM-Survey;interview;3;2;58;-9;1;11;1;1;1;4;1;1;7;7;3;2;2;3;2;1;5;17;11;41;63;36;46;28;242;1;0;7;7;4;4;0,89;5;2
1037;TCM-Survey;interview;1;1;39;3;1;4;1;1;1;5;3;1;5;4;4;1;2;1;2;1;2;12;5;30;66;20;26;32;191;1;0;7;7;0;0;1,24;14;2
1038;TCM-Survey;interview;1;1;50;6;1;8;1;1;1;5;1;1;2;7;6;1;1;3;3;1;5;19;46;45;122;31;70;78;411;1;0;7;7;0;0;0,55;0;2
1039;TCM-Survey;interview;3;1;46;3;1;8;1;1;1;5;1;1;3;7;2;1;1;5;5;1;4;25;14;68;83;33;40;74;337;1;0;7;7;0;0;0,62;0;2
1042;TCM-Survey;interview;1;1;69;-9;3;-9;2;1;1;3;2;1;5;5;4;1;1;1;1;1;2;27;28;56;114;28;41;55;349;1;0;7;7;8;8;0,6;0;2
1044;TCM-Survey;interview;1;1;52;4;1;6;1;1;1;5;3;1;7;5;3;1;1;1;1;1;3;24;9;40;75;13;25;54;240;1;0;7;7;0;0;0,96;5;2
1045;TCM-Survey;interview;1;2;48;3;1;7;1;1;1;5;1;1;7;7;5;1;1;3;2;1;5;22;16;39;48;23;38;36;222;1;0;7;7;4;3;0,87;2;2
1046;TCM-Survey;interview;1;2;71;4;3;6;2;1;1;4;1;1;6;6;4;1;1;4;5;1;2;18;11;53;112;36;43;361;319;1;0;7;7;0;0;0,6;0;2
1047;TCM-Survey;interview;2;1;59;7;1;8;1;1;1;5;1;1;5;7;5;2;2;1;2;1;4;11;7;22;37;16;19;32;144;1;0;7;7;0;0;1,41;20;2
